state,district,digital_inclusion_index,service_quality_score,aadhaar_maturity_index,citizen_engagement_index,total_enrolments,total_all_updates,overall_index,digital_rank,service_rank,maturity_rank,engagement_rank,overall_rank
Arunachal Pradesh,West Siang,43.539490453562294,53.792752538043835,90.39692146448667,22.713488045035408,22.0,525.0,52.61066312528205,879.0,485.0,524.0,651.0,746.0
Assam,Bajali,49.21475805330851,58.091321636779035,79.06092406068842,4.174032312555594,3.0,66.0,47.63525901583289,40.0,186.0,938.0,988.0,938.0
Assam,Baksa,46.98189022875521,53.570306485197456,87.33092025525231,22.29378417647809,301.0,2647.0,52.54422528642077,329.0,507.0,789.0,668.0,756.0
Assam,Barpeta,45.284803855504,47.83479412394006,90.49961143832759,29.848183788238213,1177.0,18297.0,53.36684830150246,626.0,873.0,512.0,246.0,583.0
Assam,Biswanath,46.655220081982876,53.73342203377334,89.24430992765697,24.221156052115138,192.0,2363.0,53.46352702388208,373.0,490.0,666.0,580.0,551.0
Assam,Bongaigaon,45.51936739567753,48.61243278860492,91.01179154478793,29.567191233062946,314.0,7078.0,53.67769574053332,593.0,819.0,428.0,271.0,462.0
Assam,Cachar,46.55678686079805,51.04992887647478,89.78769850130605,25.469995289768633,2999.0,13794.0,53.21610238208687,396.0,677.0,611.0,535.0,633.0
Assam,Charaideo,46.68382215460287,52.16851905928715,88.3857344309809,23.453165876612356,91.0,1920.0,52.67281038037082,370.0,606.0,726.0,621.0,737.0
Assam,Chirang,45.352098122117035,50.408483890664776,90.59451656469072,27.597155884511558,192.0,3397.0,53.48806361549602,614.0,715.0,494.0,414.0,543.0
Assam,Darrang,46.59119632051265,48.791713909758904,89.51021083270044,28.434109781832646,1565.0,7146.0,53.331807711201165,389.0,806.0,642.0,359.0,597.0
Assam,Dhemaji,46.34094104599915,50.59071345950154,88.62065412975429,26.277856223042303,1102.0,4162.0,52.95754121457432,435.0,702.0,713.0,487.0,693.0
Assam,Dhubri,47.193536356001886,45.29958856083428,90.86976857356885,32.059094865269905,1669.0,14365.0,53.85549708891873,300.0,1013.0,457.0,94.0,353.0
Assam,Dibrugarh,47.78359687736756,51.54189790647662,88.29943154647094,24.540455682865353,1047.0,6428.0,53.04134550329512,211.0,647.0,732.0,572.0,676.0
Assam,Dima Hasao,48.40021255662956,57.588414944468234,78.48830099412118,4.505278514218235,2.0,35.0,47.245551752359304,136.0,245.0,941.0,987.0,940.0
Assam,Goalpara,47.56943360748969,47.46251127857657,87.38619412142698,28.64479703601582,741.0,5098.0,52.765734010877274,242.0,898.0,787.0,337.0,727.0
Assam,Golaghat,47.326679110478814,50.7679079585007,88.73887381765763,26.77067301721629,1577.0,6036.0,53.40103347596336,269.0,693.0,705.0,462.0,568.0
Assam,Hailakandi,46.64956929335907,48.86601676944213,89.31544567345907,27.262115052499677,624.0,4695.0,53.02328669718999,376.0,801.0,662.0,426.0,681.0
Assam,Hojai,45.16665424927564,47.372823346992135,90.03742499433113,29.11052263962913,475.0,4618.0,52.92185630755701,650.0,905.0,579.0,303.0,700.0
Assam,Jorhat,47.226774835618286,55.08814276420784,88.33135051154272,21.100685957715474,601.0,3502.0,52.93673851727108,288.0,402.0,730.0,699.0,697.0
Assam,Kamrup,47.30383924450493,51.686907042885856,88.19698087544687,23.339766012031095,1395.0,9760.0,52.631873293717184,273.0,640.0,740.0,626.0,745.0
Assam,Kamrup Metro,47.49032407194939,54.45877381348711,88.80752870307423,23.49733038922539,1070.0,7387.0,53.56348924443403,253.0,446.0,698.0,617.0,509.0
Assam,Karbi Anglong,46.09884356826229,50.666672945499364,89.05582103790574,25.414322096944442,434.0,7552.0,52.80891491215296,482.0,698.0,681.0,537.0,722.0
Assam,Karimganj,46.11508007838226,49.5231118789837,89.98008337795667,28.8279152479111,1828.0,7659.0,53.611547645808436,476.0,767.0,586.0,320.0,490.0
Assam,Kokrajhar,46.419324069855044,50.25737262746595,90.6844155398145,27.908804341599616,801.0,6941.0,53.81747914468378,420.0,723.0,485.0,393.0,373.0
Assam,Lakhimpur,46.38337050729314,48.1397440959015,90.15031253030344,29.925283486872413,544.0,6258.0,53.649677655092624,427.0,856.0,561.0,237.0,475.0
Assam,Majuli,47.81265996490892,54.52452011234408,87.33087908256697,20.074028131552307,41.0,493.0,52.435521822843064,201.0,439.0,790.0,726.0,765.0
Assam,Marigaon,46.750491638583526,46.8306940719611,90.1983490267419,30.538247728350328,705.0,9589.0,53.5794456164092,356.0,939.0,552.0,203.0,502.0
Assam,Nagaon,45.36559290703734,48.9428658173267,90.40382368100603,28.758739549848567,969.0,25068.0,53.36775548880466,613.0,798.0,523.0,327.0,582.0
Assam,Nalbari,47.413413317096406,54.52351456360125,88.65452898611434,22.73973701147155,377.0,2933.0,53.33279846957089,261.0,441.0,710.0,647.0,596.0
Assam,North Cachar Hills,47.18701279976289,53.730097488996876,88.05795774425394,22.592027570421685,61.0,780.0,52.89177390085885,302.0,491.0,754.0,656.0,710.0
Assam,Sibsagar,48.014166238561266,55.27478579123971,87.07734748281183,19.09370021587269,271.0,2238.0,52.36499993212138,182.0,394.0,801.0,751.0,771.0
Assam,Sonitpur,47.795014204910935,51.35197676228997,88.19388990500357,25.110586048258707,1302.0,7760.0,53.1128667301158,208.0,658.0,741.0,549.0,667.0
Assam,South Salmara Mankachar,47.36494096572519,47.59854426572782,88.797138013126,31.028064459298943,91.0,1201.0,53.697171925969485,267.0,891.0,700.0,166.0,448.0
Assam,Sribhumi,49.435348551778226,57.231946017043214,81.07226469037883,12.331687763584805,21.0,631.0,50.017811755696265,17.0,282.0,917.0,884.0,901.0
Assam,Tamulpur District,48.679187609826826,58.88465514543996,78.93562384507419,12.426451812239668,10.0,110.0,49.73147960314516,102.0,73.0,939.0,882.0,908.0
Assam,Tinsukia,48.156671185701875,50.18329531195861,88.05538054090324,26.245393811667004,770.0,5752.0,53.160185212557685,161.0,728.0,755.0,489.0,655.0
Assam,Udalguri,46.751951938944636,52.91450051475743,88.75864635424084,23.255686728646214,321.0,4214.0,52.92019638414728,355.0,551.0,703.0,634.0,702.0
Assam,West Karbi Anglong,47.17764536516402,58.08348518416996,81.65452967371995,11.27534834523252,384.0,504.0,49.54775214207161,304.0,188.0,910.0,904.0,911.0
Bihar,Araria,46.63399465232514,45.411963618054855,89.73102419189779,32.31402941853589,2190.0,37763.0,53.52275297020341,380.0,1009.0,618.0,74.0,525.0
Bihar,Arwal,47.01530615150833,48.99072976964915,88.40079656912442,25.41529729058746,632.0,6271.0,52.45553244521734,323.0,794.0,725.0,536.0,760.0
Bihar,Aurangabad,47.29372359475326,47.51189823932748,90.3175930263714,31.450663410077834,1357.0,26036.0,54.14346956763249,275.0,897.0,533.0,138.0,219.0
Bihar,Aurangabad(BH),,58.983496586077266,,0.0015886705097362805,0.0,1.0,,,67.0,,1030.0,
Bihar,Aurangabad(bh),48.768572821036045,59.41800355604593,79.72354817153514,5.862463092068417,8.0,56.0,48.443146910171386,88.0,49.0,930.0,971.0,929.0
Bihar,Banka,47.80238882068254,49.36150294731858,88.74991918869978,26.977144324674892,1287.0,23004.0,53.22273882034395,205.0,773.0,704.0,446.0,629.0
Bihar,Begusarai,46.731846502261035,47.33418700868115,91.04904379992493,30.403501604523637,1348.0,25962.0,53.87964472884769,358.0,908.0,425.0,212.0,335.0
Bihar,Bhabua,48.490142332199454,59.44077825664456,79.7520370092669,5.101207972384238,2.0,23.0,48.19604139262379,123.0,46.0,929.0,982.0,932.0
Bihar,Bhagalpur,47.5273399775878,47.241582429782355,91.11701718053354,30.277815815077133,3170.0,29049.0,54.040938850745206,245.0,919.0,411.0,218.0,261.0
Bihar,Bhojpur,47.68615296604323,45.5288314482257,91.85955915837255,32.04473810777371,1674.0,23083.0,54.2798204201038,224.0,1002.0,247.0,95.0,162.0
Bihar,Buxar,47.39431492784791,47.64585749512503,90.91480246461656,30.972139200909258,1029.0,14165.0,54.23177852212469,263.0,888.0,448.0,173.0,184.0
Bihar,Darbhanga,45.922083699232005,46.323590414049654,91.88913211416543,32.58343468245736,2510.0,41032.0,54.17956022747611,515.0,971.0,240.0,62.0,208.0
Bihar,East Champaran,47.718943665697665,43.86049481920501,91.52244590723,33.03214159128696,5159.0,53421.0,54.03350649585491,223.0,1045.0,330.0,43.0,264.0
Bihar,Gaya,47.753450503719456,45.7640264607681,90.92805663471826,31.426844993385462,2804.0,38751.0,53.96809464814782,215.0,991.0,444.0,139.0,291.0
Bihar,Gopalganj,47.525589124684075,44.303627551326436,91.16317739136029,33.54909967905743,1601.0,26012.0,54.13537343660706,247.0,1038.0,406.0,25.0,221.0
Bihar,Jamui,45.95118090632199,43.97782741845683,91.27163203538345,33.67598732892112,886.0,15296.0,53.71915692227084,505.0,1043.0,385.0,21.0,430.0
Bihar,Jehanabad,47.630844153564894,49.865671987829025,90.13711618321386,27.409929587213988,694.0,8389.0,53.76089047795544,232.0,751.0,563.0,422.0,406.0
Bihar,Kaimur (Bhabua),47.1760560441596,43.74645295948717,90.31113300981903,31.865782403273602,1404.0,16082.0,53.274856104184856,305.0,1048.0,536.0,107.0,613.0
Bihar,Katihar,46.56500812901031,45.26894669064096,91.11581894265667,32.60067839643276,1944.0,43270.0,53.88761303968517,393.0,1015.0,412.0,61.0,329.0
Bihar,Khagaria,47.20989648549135,47.308007999812155,90.43716959023806,31.61891282902065,779.0,13264.0,54.143496726140555,294.0,912.0,518.0,124.0,218.0
Bihar,Kishanganj,44.855593541144664,45.92161223210748,91.52995023355449,34.61363506215876,854.0,44942.0,54.23019776724134,716.0,985.0,327.0,6.0,187.0
Bihar,Lakhisarai,47.54970810390875,45.379863011692635,89.36363535563639,30.169273302760647,534.0,9551.0,53.11561994349961,244.0,1010.0,655.0,222.0,664.0
Bihar,Madhepura,46.38968926883551,47.78289241279857,89.80812715438044,29.830975629606595,1118.0,19472.0,53.45292111640528,426.0,878.0,610.0,249.0,554.0
Bihar,Madhubani,46.151956564638205,44.80888100877165,91.64049600865948,32.63082109190502,3305.0,47810.0,53.808038668493595,471.0,1027.0,298.0,59.0,381.0
Bihar,Monghyr,47.73604306118726,58.3310980766985,80.86674439622685,8.221845281345484,1.0,37.0,48.788932703864525,218.0,155.0,922.0,934.0,921.0
Bihar,Munger,47.20157555853462,45.72020073353562,91.15400683190497,31.62815515395401,571.0,9113.0,53.9259845694823,297.0,993.0,407.0,123.0,313.0
Bihar,Muzaffarpur,47.42444277191028,45.966916929940965,91.31911929697365,31.691781862622864,2236.0,45182.0,54.10056521536194,260.0,984.0,376.0,117.0,235.0
Bihar,Nalanda,48.07928997793001,46.299243246188155,90.4462279914149,31.21276203969893,1368.0,26740.0,54.009380813808,169.0,972.0,517.0,151.0,276.0
Bihar,Nawada,47.85043166249247,46.3695317935786,89.88656731632068,31.051673506034895,1379.0,12992.0,53.78955106960666,198.0,964.0,599.0,165.0,391.0
Bihar,Pashchim Champaran,49.07169861848572,57.880717541695354,82.52955716015205,10.979912786286516,665.0,177.0,50.11547152665491,50.0,215.0,899.0,909.0,900.0
Bihar,Patna,47.930633261084594,47.396580898059156,90.50935876110333,29.71703951521103,2536.0,53969.0,53.88840310886453,187.0,904.0,511.0,260.0,328.0
Bihar,Purba Champaran,49.45714757567038,58.81290877950875,81.06869978758824,4.893124238045107,18.0,114.0,48.557970095203125,14.0,86.0,918.0,984.0,924.0
Bihar,Purbi Champaran,28.75403894856345,61.498068338762266,51.78245021118808,0.0,1222.0,0.0,35.508639374628444,970.0,23.0,971.0,1050.5,971.0
Bihar,Purnea,47.61875330053539,56.586504058599296,87.22920677460839,15.28384047627221,34.0,385.0,51.67957615250382,235.0,325.0,795.0,828.0,826.0
Bihar,Purnia,46.45132328485095,46.654795966961814,90.0456192509852,30.195846480490108,2832.0,31976.0,53.33689624582202,412.0,952.0,578.0,220.0,594.0
Bihar,Rohtas,47.40928341275209,46.01462098503168,91.54729289562353,32.21500285555813,949.0,22006.0,54.29655003724135,262.0,982.0,322.0,78.0,154.0
Bihar,Saharsa,44.865840835754994,47.24983428802948,90.84624878614939,31.407580909547367,1837.0,19656.0,53.59237620487031,714.0,918.0,460.0,140.0,499.0
Bihar,Samastipur,47.72797918463427,45.1910414085111,90.97857368217069,32.000255214111604,2413.0,41362.0,53.97446237235692,220.0,1019.0,434.0,100.0,290.0
Bihar,Samstipur,49.2197851620871,58.76511381092145,80.66030263421538,4.52815458905848,7.0,56.0,48.2933390490706,37.0,94.0,924.0,986.0,930.0
Bihar,Saran,47.25790846341154,45.858459092630206,90.97424574487248,32.01002395387945,2638.0,35089.0,54.025159313698424,282.0,988.0,436.0,99.0,273.0
Bihar,Sheikhpura,45.79409897351886,49.637649200439256,88.1736202647444,28.45329142895081,412.0,6981.0,53.01466496691333,539.0,763.0,742.0,357.0,683.0
Bihar,Sheikpura,47.27024930567012,58.562188811333286,82.9707863053088,11.013444096860836,4.0,55.0,49.95416712979326,279.0,121.0,891.0,907.0,903.0
Bihar,Sheohar,46.627640657403546,47.021039331756256,88.28150816129988,32.20866210759027,405.0,7499.0,53.53471256451249,382.0,930.0,733.0,80.0,520.0
Bihar,Sitamarhi,47.191713992229445,45.286058405396204,90.0778660541641,30.893373392171725,5104.0,38325.0,53.36225296099037,301.0,1014.0,574.0,178.0,587.0
Bihar,Siwan,46.961522921164715,47.41958027625272,91.3882053073898,29.921575958876993,2340.0,22556.0,53.92272111592105,331.0,902.0,363.0,239.0,315.0
Bihar,Supaul,46.43654223690363,46.58718381158865,90.70664425502558,31.538030639045743,1419.0,29585.0,53.81710023564091,414.0,955.0,481.0,133.0,374.0
Bihar,Vaishali,46.91343096484832,47.15489134935282,91.28832770274771,31.245204124199017,2075.0,30459.0,54.15046353528696,334.0,924.0,384.0,148.0,216.0
Bihar,West Champaran,48.405613832718835,43.79744985109948,91.46061650403875,32.942238833834566,3177.0,37919.0,54.15147975542291,133.0,1047.0,339.0,49.0,215.0
Chandigarh,Chandigarh,46.57090680710583,51.4479590080234,90.28158684208105,26.492192729733567,338.0,18691.0,53.698161346735965,392.0,651.0,537.0,474.0,445.0
Chandigarh,Rupnagar,41.66745366544682,59.25599866173224,68.32721649433991,5.358965920128861,1.0,6.0,43.652408685411956,948.5,52.0,963.0,979.0,960.0
Chhattisgarh,Balod,44.42068890052739,48.7480122808914,92.14475807948217,32.320343544830735,191.0,14237.0,54.408450701432926,784.0,811.0,178.0,73.0,122.0
Chhattisgarh,Baloda Bazar,44.94366867157153,45.65180458979255,92.38182951189142,33.152294879529826,448.0,39265.0,54.03239941319633,699.0,997.0,130.0,35.0,265.0
Chhattisgarh,Balrampur,44.99637768838758,43.12001959255501,90.0045243521678,34.320509526007385,758.0,5279.0,53.11035778977945,686.0,1055.0,582.0,8.0,669.0
